2026-05-22T10:51:53.203-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing GET /auth/me
2026-05-22T10:51:53.212-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Secured GET /auth/me
2026-05-22T10:51:53.223-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Securing GET /auth/me
2026-05-22T10:51:53.225-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Secured GET /auth/me
2026-05-22T10:51:53.231-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/metricas
2026-05-22T10:51:53.231-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:51:53.232-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/metricas
2026-05-22T10:51:53.233-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:51:53.235-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/metricas
2026-05-22T10:51:53.235-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:51:53.237-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/metricas
2026-05-22T10:51:53.237-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:51:53.245-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:51:53.248-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:51:53.254-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:51:53.256-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/metricas
2026-05-22T10:51:53.257-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:51:53.257-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/metricas
2026-05-22T10:51:53.272-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/metricas
2026-05-22T10:51:53.274-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/metricas
2026-05-22T10:51:55.529-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /auth/me
2026-05-22T10:51:55.533-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Secured GET /auth/me
2026-05-22T10:51:55.547-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /auth/me
2026-05-22T10:51:55.550-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /auth/me
2026-05-22T10:51:55.562-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:51:55.562-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/metricas
